name,price,num_of_ratings,ranking,ratings out of 5
"Garnier Skin Naturals, Bright Complete 30X Vitamin C Booster Face Serum, Increases Skin's Glow Instantly and Reduces Spots Overtime, with 2% Niacinamide + 0.5% Salicylic Acid, for Men & Women, 30 ml",₹559.00,"30,032",#17,4.0
"L'Oreal Paris Semi-Permanent Hair Colour, Ammonia-Free Formula & Honey-Infused Conditioner, Glossy Finish, Casting Creme Gloss, Dark Brown 400, 87.5g+72ml",₹515.00,"30,300",#18,4.2
"Himalaya Herbals Purifying Neem Face Wash, 200ml (Pack of 1)",₹164.00,"73,570",#19,4.3
"Maybelline New York Fit Me Matte + Poreless Compact Powder, 16H Oil Control with SPF 32, Matte Finish, 128 Warm Nude, 6g",₹259.00,"33,538",#20,4.1
"L'Oreal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 30ml",₹209.00,"30,351",#21,4.3
"Maybelline New York Matte Lipstick, Intense Colour, Keeps Lips Moisturised, 657 Nude Nuance, Color Sensational Creamy Matte Lipstick, 3.9g",₹297.00,"63,823",#22,4.1
"WishCare Hair Growth Serum Concentrate - 3% Redensyl, 4% Anagain, 2% Baicapil, Caffeine, Biotin, Plant Keratin & Rice Water - Hair Growth Serum for Men & Women",₹678.00,"3,964",#23,4.1
"LAKMÉ Eyeconic Insta Cool Kajal, Black, Cooling Kohl Liner With Cucumber, Twist Up Pencil - Waterproof, Smudge Proof & Long Lasting Eye Makeup, Glossy, 0.35 G",₹125.00,"8,025",#24,4.2
"Neutrogena Ultra Sheer Sunscreen SPF 50+ | Broad Spectrum UVA/UVB | Blue light protect | No White Cast | Water resistant, Ultra light & Non sticky | Oily, Dry & Sensitive Skin | 80 g (Pack of 1)",₹522.00,"17,613",#25,4.3
Biotique Herbcolor Conditioning Hair Colour l Ammonia Free Hair Color l 9 Organic Herbal Extracts l Natural and Healthy Shine l 50g + 110ml| Darkest Brown 3N (Pack of 1),₹180.00,"15,585",#26,4.0
"Livon Serum for Women & Men|All Hair Types for Frizz-free, Smooth & Glossy Hair |With Argan Oil & Vitamin E |100ml",₹189.00,"36,753",#28,4.3
"NIVEA Soft Light Moisturizer, 300 ml, for Face, Hand & Body, Non-Greasy Cream with Vitamin E & Jojoba Oil for Instant Hydration",₹233.00,"58,922",#29,4.4
Park Avenue Premium Men’s Soaps for Bath – Cool Blue | 125g (Pack of 4) | Menthol & Mineral Energizer | Grade 1 Soap | For All Skin Types,₹126.00,"18,887",#30,4.1
"L'Oréal Professionnel Xtenso Care Shampoo For Straightened Hair, 250 ML |Shampoo for Starightened Hair|Shampoo with Pro Keratin & Incell Technology",₹468.00,"10,086",#31,4.2
"Mysore Sandal Soap,450g (150x3) (Pack Of 3)",₹220.00,"27,614",#32,4.5
"Dot & Key Watermelon Hyaluronic Cooling Sunscreen SPF 50 PA+++| for Oily, Normal & Combination Skin | UV + Blue Light Protection | Lightweight | No White Cast | Boosts Vitamin D Absorption | 50g…",₹382.00,"2,186",#33,4.3
Dettol Liquid Handwash Refill - Original Hand Wash- 1500ml | Germ Defence Formula | 10x Better Germ Protection,₹191.40,"79,830",#34,4.5
"Fiama Gel Bar Celebration Pack With 5 unique Gel Bars & Skin Conditioners For Moisturized Skin, 625g (125g - Pack of 4+1), Soap for Women & Men, For All Skin Types",₹359.00,"21,872",#35,4.5
"DOT & KEY Vitamin C + E Super Bright Sunscreen Spf 50|Water-Light,UVA/UVB & Blue Light Protection|For Even Toned & Glowing Skin|With Liquid Spf 50+++|No White Cast,|For All Skin Types|50G,Pack Of 1",₹382.00,"3,111",#36,4.2
NIVEA Pearl and Beauty 50ml Deo Roll On | With Pearl Extracts & Avocado Oil| 48 H Smooth & Beautiful Underarms| 0% Alcohol | For Women,₹149.00,"20,880",#37,4.4
"L'Oreal Paris Conditioner, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 180ml",₹144.00,"17,258",#38,4.3
"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dull Skin & Fine Lines, Korean Skincare","₹1,030.00","79,246",#39,4.3
"L'OREAL PROFESSIONNEL PARIS Absolut Repair Shampoo For Damaged & Weakend Hair, 300ML |Professional Hair Repairing Shampoo|Hair Strengthening Shampoo",₹568.00,"9,430",#40,4.3
"Nat Habit - Fresh Ready To Apply Henna Paste, Pre-Soaked in Black Tea and Herbs,100% Natural Rajasthani Henna, Imparts Rich Brown Shade (Pack of 2 x 220g)",₹360.00,"7,209",#41,4.5
"Cetaphil Moisturising Cream for Face & Body , Dry to Normal skin, 80 gm",₹509.00,"12,480",#42,4.3
"Dot & Key Ceramides Moisturizer with Hyaluronic for Intense Moisturizing and Skin Strengthening | With Probiotic & Rice Water I Barrier Repair Cream | For Dry Skin, Normal Skin & Sensitive Skin | 100g",₹335.00,"3,840",#43,4.2
"Lotus Herbals WhiteGlow Skin Whitening And Brightening Gel, Face Cream with SPF-25, for all skin types, 40g (Pack of 1)",₹192.00,"40,001",#44,4.2
"NIVEA MEN Deep Impact Freshness Deodorant Roll-on - For MEN, 50ml",₹168.00,"34,773",#45,4.3
Biolage Smoothproof 6-in-1 Professional Hair Serum for Frizzy Hair |Deep Smoothening With Avocado & Grape Seed Oil | Natural & Vegan (100 ml),₹279.00,"21,899",#46,4.3
"Bella Vita Luxury Woman Eau De Parfum Gift Set 4x20 ml for Women with Date, Senorita, Glam, Rose Perfume|Floral, Fruity Long Lasting EDP Fragrance Scent",₹565.00,"14,605",#47,4.3
Mamaearth Ubtan Natural Face Wash for All Skin Type with Turmeric & Saffron for Tan removal and Skin brightning 100 ml - SLS & Paraben Free,₹232.00,"50,111",#48,4.1
"Bella Vita Luxury Man Perfume Gift Set 4 x 20 ml for Men with KLUB, OUD, CEO, G.O.A.T Perfume | Woody, Citrusy Long Lasting EDP Fragrance Scent",₹565.00,"21,224",#49,4.1
WishCare SPF50 Sunscreen Body Lotion - Broad Spectrum - UVA & UVB Protection with No White Cast - With Carrot Seed & Raspberry - For Men & Women - 200 Ml,₹387.00,"3,341",#50,4.3
"Biotique Morning Nectar Flawless Skin Moisturizer l Prevents Dark spots, Blackheads and Blemishes l Visibly Flawless Skin l Nourishes and Hydrates Skin l All Skin Types l 190ml",₹181.00,"44,053",#51,4.3
"Garnier Men Turbo Bright Double Action Face Wash, Deep Cleansing Anti Pollution Face Wash with Charcoal and Vitamin C, Suitable for all Skin Types, 150g",₹239.00,"38,326",#52,4.3
"Scalpe Pro Daily Anti-Dandruff Shampoo | Removes Dandruff from Source | Helps with Itching, Irritation & Redness accompanying Dandruff | Scalpe Science | Climbazole & ZPTO Formulation | Strong & Smooth Hair | Daily Use | Dermatologically Tested Solution | For Women & Men | 100ml",₹162.00,"17,233",#53,4.1
The Derma Co 2% Kojic Acid Face Serum with 1% Alpha Arbutin & Niacinamide for Dark Spots And Pigmentation - 10 ml,₹229.00,"4,591",#54,3.9
"Love Beauty & Planet Argan Oil and Lavender Natural Shampoo for Dry & Frizzy hair|No Sulfates,No Paraben|200ml",₹245.00,"1,898",#55,4.1
"Maybelline New York Colossal Kajal, Intense Colour, Waterproof, Long lasting 24Hrs Stay, Black, 0.35g",₹139.00,"48,743",#56,4.3
Kozicare Skin Lightening Soap Pack of 3 | Kojic Acid & Vitamin C | Anti Aging & Sun Protection | Moisturizing Bath Soap for Men & Women | Remove Dark Spots & Hyperpigmentation | Glowing Skin,₹299.00,"7,591",#57,3.6
"Raaga Professional De-Tan Pack | Tan Removal Cream with Kojic and Milk | Dermatologically Tested, Peroxide Free, Hydroquinone Free, Sulphate Free - 12g x 6 (72 gm)",₹291.00,"7,527",#58,4.0
"SET WET Deodorant Spray Perfume Cool, Charm & Swag Avatar for men, 150ml (Pack of 3)",₹413.00,"48,727",#59,4.0
"Deconstruct Face Gel Sunscreen SPF 55+ and PA+++ | Gel based sunscreen for oily skin, combination skin, normal skin | Broad spectrum sunscreen, No White Cast, Lightweight, Non greasy | Higher protection than sunscreen SPF 50 - 50g",₹307.00,804,#60,4.2
Parachute Coconut Oil - 1 L Pet Jar,₹303.00,"34,491",#61,4.4
"Soulflower Rosemary Essential Oil for Hair Growth, Hair Fall Control and Nourishment, Skin Care | Clinically Tested & Ecocert Certified Organic 100% Pure, Natural, Undiluted | 15ml",₹424.00,"15,694",#62,4.2
"Himalaya Herbals Cocoa Butter Intensive Body Lotion, 400ml",₹132.00,"28,011",#63,4.3
"FACES CANADA Weightless Stay Matte Finish Compact Powder - Natural, 9 g | Non Oily Matte Look | Evens Out Complexion | Hides Imperfections | Blends Effortlessly | Pressed Powder For All Skin Types",₹112.00,"17,281",#64,4.1
"Aqualogica Men & Women Radiance+ Dewy Sunscreen For All Skin Types Spf 50 Pa+++ 50G - With Watermelon & Niacinamide For Radiant Skin - Deep Moisturization, Protects From UVA/B, Pack Of 1",₹394.00,"6,280",#65,4.1
"Be Bodywise 4% AHA BHA Underarm Roll on | With 2% Lactic Acid, 1% Mandelic Acid, 1% Salicylic Acid | Prevents Odour, Reduces Pigmentation | For Radiant Underarms | Long Lasting Fresh Floral Fragrance | Alcohol & Aluminum Free | Suitable for Sensitive Skin | 50ml",₹329.00,"1,982",#66,4.2
The Derma Co 2% Salicylic Acid and 2% Niacinamide Sali-Cinamide Anti-Acne Face Wash - 80ml,₹223.00,"1,491",#67,4.1
"Minimalist 10% Niacinamide Face Serum for Acne Marks, Blemishes & Oil Balancing with Zinc | Skin Clarifying Anti Acne Serum for Oily & Acne Prone Skin (30 ml (Pack of 1))",₹569.00,"15,030",#68,4.2
"Wild Stone Ultra Sensual Long Lasting Perfume for Men, 100ml, A Sensory Treat for Casual Encounters, Aromatic Blend of Masculine Fragrances",₹266.00,"17,658",#69,4.0
"Dettol Original Germ Protection Bathing Soap Bar (400gm) | Kills 99.99% germs, 100g - Pack of 4",₹127.00,525,#70,4.4
"POND's Super Light Gel, Oil-Free Moisturizer, 200G, For Hydrated, Glowing Skin, With Hyaluronic Acid & Vitamin E, 24Hr Hydration, Non-Sticky, Spreads Easily & Instantly Absorbs",₹373.00,"49,471",#71,4.4
"Tresemme Keratin Smooth, Shampoo, 1L, for Straighter, Shinier Hair, with Keratin & Argan Oil, Nourishes Dry Hair, Controls Frizz , for Men & Women",₹798.00,"50,195",#72,4.3
"FIXDERMA Shadow Sunscreen Spf 30+ Gel, Broad Spectrum Sunscreen For Oily Skin, Uva & Uvb Protection For Unisex, Body & Face, Non Greasy & Water Resistant, 40g",₹198.00,"6,884",#73,4.3
"Pears Pure & Gentle Shower Gel SuperSaver XL Pump Bottle With 98% Pure Glycerine, 100% Soap Free and No Parabens, 750 ml",₹303.00,"4,694",#74,4.4
"moha: Foot Cream For Rough, Dry and Cracked Heel, Feet Cream For Heel Repair With Benefits Of AleoVera, Papaya & Peppermint (50 g (Pack of 1))",₹145.00,"4,663",#75,4.1
"Foxtale Glow Sunscreen SPF 50 PA++++ Lightweight with Vitamin C and Niacinamide, Fast-Absorbing, UVA and UVB filters Prevents Tanning, No White Cast, Non-Greasy, For Men & Women, All Skin Types, 50 ml",₹261.75,"2,106",#76,4.2
"Mamaearth Onion Hair Fall Shampoo for Hair Growth & Hair Fall Control, with Onion Oil & Plant Keratin 250ml",₹296.00,"48,372",#77,4.0
"Kesh King Ayurvedic Anti Hairfall Hair Oil|Hair Growth Oil| Reduces Hairfall |21 Natural Ingredients | Grows New Hair With Bhringraja, Amla And Brahmi - 300 Ml, 0.3 Kilograms",₹223.00,"20,714",#78,4.2
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| Non-greasy, Won’t Clog Pores| Dermatologist Recommended| Paraben, Sulphate Free",₹466.00,"10,901",#79,4.3
"Swiss Beauty Bold Matte Lipliner Shade, Shades,",₹65.55,"8,999",#80,4.2
Nycil Germ Expert Cool Herbal Prickly Heat and Cooling Powder - 400 g | Get Relief from Skin Problems,₹198.00,910,#81,4.4
"MATRIX Opti.Care Professional Shampoo for ANTI-FRIZZ Shampoo | For Salon Smooth, Straight hair | with Shea Butter (200ml)",₹351.00,"12,397",#82,4.2
"Aqualogica Detan+ Dewy Lightweight Sunscreen with SPF 50+ & PA++++ for UVA/B & Blue Light Protection | Normal, Sensitive & Dry Skin | Tan Removal & No White Cast for Men & Women - 50g",₹394.00,"2,018",#83,4.3
"Dr. Sheth's Ceramide & Vitamin C Oil - Free Moisturizer| Lightweight Moisturizer to Hydrate & Brighten Skin | With Vitamin C, Ceramide & Ashwagandha | For Women & Men | 50g",₹304.00,"2,581",#84,4.2
"The Derma Co 10% Vitamin C Face Serum with Vitamin C, 5% Niacinamide & Hyaluronic Acid for Skin Radiance - 30ml",₹583.00,"8,594",#85,4.0
"WOW Skin Science 99% Pure Aloe Vera Gel for Face, Skin & Hair - 150ml | Ultimate Gel For Glowing Skin | For Both Men and Women",₹188.00,"45,310",#86,4.2
MARS Matte Lip Liner | One Swipe Smooth Application | Long Lasting Lip Pencil | (1.4gm) (02-DEEP DAWN),₹59.00,"1,189",#87,4.2
"Lotus Herbals Safe Sun Invisible Matte Gel Sunscreen SPF 50 PA+++ , For Men & Women, Non-Greasy, Suitable for Oily Skin, 100g,Orange",₹339.00,"17,088",#88,4.1
"Lacto Calamine Daily Cleansing Facial Wipes 25N Each - Pack of 3 | Wet Wipes for Face with Aloe Vera, Cucumber & Vitamin E | Makeup Remover Wipes| Hydrating,Refreshing, Soothing|Paraben & Alcohol Free",₹169.00,"17,289",#89,4.3
L'OREAL PROFESSIONNEL PARIS Serie Expert Absolut Repair Mask |Dry Hair Mask Provides Deep Conditioning & Strength | With Gold Quinoa & Wheat Protein (250Gms),₹774.00,"7,789",#90,4.3
"Pilgrim Redensyl 3% + Anagain 4% Advanced Hair Growth Serum (50ml) with Natural Ingredients, Controls Hair Fall, Stimulates Hair Growth, Increase Hair Density | Hair Growth Serum for Men & Women",₹670.00,"3,983",#91,4.0
"Bella Vita Luxury Unisex Eau De Parfum Gift Set 4 x 20ml for Men & Women with SKAI, FRESH, WHITEOUD, HONEY OUD Perfume|Long Lasting EDP Fragrance Scent",₹565.00,"10,954",#92,4.3
"NIVEA MEN Fresh Active Original 48 Hours Deodorant, 150 ml",₹185.25,"35,313",#93,4.0
"SUGAR Cosmetics Tipsy Lip Balm For Dry & Chapped Lips With Vitamin E, Shea Butter and Jojoba Oil | Lip Protection & Nourishment | LipBalm with SPF | 4.5gm - 02 Cosmopolitan",₹169.00,"10,592",#94,4.2
"Be Bodywise 1% Salicylic Acid Body Wash Shower Gel | Prevents Body Acne, Bumpy skin, Exfoliates & Deep cleanses skin | Paraben & SLS free | Suitable for all skin types | 250ml",₹349.00,"5,389",#95,4.2
Minimalist 10% Vitamin C Face Serum for Glowing Skin (Formulated & Tested For Sensitive Skin) | Non Irritating | Non Sticky | Brightening Vit C Formula For Men and Women | 30 ml (30 ml),₹664.00,"12,921",#96,4.1
Dove Deeply Nourishing Body Wash|| With Moisturisers For Softer|| Smoother Skin|| For All Skin Type|| 800 ml,₹499.00,"24,083",#97,4.3
"LAKMÉ 9 To 5 Cc Cream Mini, 01 - Beige, Light Face Makeup With Natural Coverage, Spf 30 - Tinted Moisturizer To Brighten Skin, Conceal Dark Spots, 9 G",₹99.00,"13,301",#98,4.1
"Bella Vita Luxury White Oud Unisex Eau De Parfum Perfume with Orange,Patchouli,Musk|Premium, Long Lasting Oud & Fruity Fragrance for Men & Women,100ML",₹575.00,"3,454",#99,4.0
"Maybelline New York Colossal Bold Eyeliner, Black, 3ml",₹179.00,"31,047",#100,4.3
